FIPS,hospitals,icu_beds
31073,0,0
31075,0,0
31077,0,0
31079,1,16
31081,1,0
31083,1,0
31085,0,0
31087,0,0
31089,3,0
31091,0,0
31093,1,0
31095,1,0
31097,1,0
31099,1,0
31101,1,0
31103,0,0
31105,1,0
31107,1,0
31109,4,108
31111,1,19
31113,0,0
31115,0,0
31117,0,0
31119,1,24
31121,1,0
31123,1,0
31125,0,0
31127,1,0
31129,1,0
31131,2,0
31133,1,0
31135,1,0
31137,1,0
31139,2,0
31141,2,5
31143,1,0
31145,1,0
31147,1,0
31149,0,0
31151,2,0
31153,2,8
31155,1,0
31157,1,22
31159,1,0
31161,1,0
31163,0,0
31165,0,0
31167,0,0
31169,1,0
31171,0,0
31173,1,0
31175,1,0
31177,1,0
31179,1,0
31181,1,0
31183,0,0
31185,2,0
32001,1,0
32003,19,535
32005,1,0
32007,1,7
32009,0,0
32011,0,0
32013,1,3
32015,1,0
32017,1,0
32019,1,0
32021,1,0
32023,1,0
32027,1,0
32029,0,0
32031,5,331
32033,1,0
32510,1,24
33001,1,10
33003,2,8
33005,1,27
33007,3,3
33009,5,54
33011,5,62
33013,3,18
33015,3,43
33017,2,17
33019,1,0
34001,2,64
34003,6,147
34005,3,82
34007,4,199
34009,1,16
34011,1,36
34013,7,267
34015,1,14
34017,6,105
34019,1,12
34021,4,92
34023,5,185
34025,5,152
34027,3,91
34029,4,106
34031,2,97
34033,2,19
34035,1,28
34037,1,10
34039,3,80
34041,2,20
35001,5,138
35003,0,0
35005,2,24
35006,2,4
35007,1,4
35009,1,8
35011,0,0
35013,2,51
35015,2,12
35017,1,6
35019,1,0
35021,0,0
35023,0,0
35025,2,8
35027,1,4
35028,1,6
35029,1,6
35031,4,5
35033,0,0
35035,2,10
35037,1,0
35039,1,8
35041,1,0
35043,1,0
35045,2,10
35047,1,8
35049,3,22
35051,1,0
35053,1,0
35055,1,6
35057,0,0
35059,1,0
35061,0,0
36001,3,120
36003,2,6
36005,6,270
36007,2,47
36009,1,0
36011,1,14
36013,3,26
36015,2,20
36017,1,7
