FIPS,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
40109,"65,034","128,921","153,023","161,750",12.8,25.3,30.1,31.8
40111,"3,615","9,215","9,352","3,638",14,35.7,36.2,14.1
40113,"4,071","12,735","10,386","5,812",12.3,38.6,31.5,17.6
40115,"3,101","7,674","6,913","2,910",15.1,37.3,33.6,14.1
40117,"1,312","4,915","3,208","1,805",11.7,43.7,28.5,16.1
40119,"3,603","11,817","12,282","16,171",8.2,26.9,28,36.9
40121,"4,096","12,002","10,253","4,844",13.1,38.5,32.9,15.5
40123,"2,811","8,254","6,770","6,961",11.3,33.3,27.3,28.1
40125,"5,903","17,039","15,805","8,706",12.4,35.9,33.3,18.3
40127,"1,296","3,221","2,152","1,177",16.5,41.1,27.4,15
40129,254,917,838,457,10.3,37.2,34,18.5
40131,"4,804","19,984","21,265","14,803",7.9,32.8,34.9,24.3
40133,"2,542","5,617","5,994","2,321",15.4,34.1,36.4,14.1
40135,"5,432","10,870","8,196","3,748",19.2,38.5,29,13.3
40137,"3,830","12,446","8,767","5,261",12.6,41.1,28.9,17.4
40139,"3,428","3,338","3,185","2,855",26.8,26.1,24.9,22.3
40141,"1,151","1,724","1,344",907,22.5,33.6,26.2,17.7
40143,"45,463","107,189","136,950","131,433",10.8,25.5,32.5,31.2
40145,"5,035","17,317","17,988","12,229",9.6,32.9,34.2,23.3
40147,"3,300","12,036","10,037","10,156",9.3,33.9,28.3,28.6
40149,797,"3,286","2,012","1,563",10.4,42.9,26.3,20.4
40151,627,"1,725","1,662","1,773",10.8,29.8,28.7,30.6
40153,"1,641","5,616","3,811","2,738",11.9,40.7,27.6,19.8
41000,"274,182","656,365","982,329","937,817",9.6,23,34.5,32.9
41001,"1,237","3,916","4,100","2,654",10.4,32.9,34.4,22.3
41003,"2,479","7,563","15,157","29,165",4.6,13.9,27.9,53.6
41005,"19,201","60,819","100,447","105,014",6.7,21.3,35.2,36.8
41007,"2,357","7,019","11,691","6,868",8.4,25.1,41.9,24.6
41009,"3,464","12,409","13,812","6,445",9.6,34.3,38.2,17.8
41011,"5,253","14,220","19,180","8,445",11.2,30.2,40.7,17.9
41013,"2,070","5,498","6,312","2,762",12.4,33,37.9,16.6
41015,"1,987","4,846","6,969","4,349",10.9,26.7,38.4,24
41017,"8,452","29,183","48,306","44,674",6.5,22.3,37,34.2
41019,"8,699","25,912","31,547","13,706",10.9,32.4,39.5,17.2
41021,140,452,563,293,9.7,31.2,38.9,20.2
41023,617,"1,832","2,012","1,034",11.2,33.3,36.6,18.8
41025,537,"1,736","2,091",891,10.2,33,39.8,17
41027,"2,946","3,296","4,393","4,915",18.9,21.2,28.3,31.6
41029,"15,862","40,186","54,988","41,866",10.4,26.3,36,27.4
41031,"2,215","4,680","6,010","2,911",14,29.6,38,18.4
41033,"6,170","19,450","26,543","10,843",9.8,30.9,42.1,17.2
41035,"5,838","13,954","17,565","8,988",12.6,30.1,37.9,19.4
41037,772,"2,089","2,120",910,13.1,35.5,36,15.4
41039,"21,713","59,108","96,599","74,546",8.6,23.5,38.3,29.6
41041,"3,468","10,126","14,354","8,886",9.4,27.5,39,24.1
41043,"8,586","25,544","34,350","16,618",10.1,30,40.4,19.5
41045,"3,767","5,977","7,245","2,727",19.1,30.3,36.7,13.8
41047,"32,419","60,875","76,493","50,130",14.7,27.7,34.8,22.8
41049,"1,748","2,303","2,256",773,24.7,32.5,31.9,10.9
41051,"50,422","100,172","170,634","257,958",8.7,17.3,29.5,44.5
41053,"4,993","12,543","18,931","15,728",9.6,24,36.3,30.1
41055,107,408,482,241,8.6,33,38.9,19.5
41057,"1,884","6,131","7,348","4,094",9.7,31.5,37.8,21
41059,"8,944","14,321","18,778","8,140",17.8,28.5,37.4,16.2
41061,"1,332","5,656","6,042","4,287",7.7,32.7,34.9,24.8
41063,407,"1,631","2,045","1,342",7.5,30.1,37.7,24.7
41065,"2,556","5,147","6,647","3,703",14.2,28.5,36.8,20.5
41067,"33,294","69,211","120,704","173,384",8.4,17.5,30.4,43.7
41069,87,407,450,154,7.9,37.1,41,14
41071,"8,159","17,745","25,165","18,373",11.7,25.6,36.2,26.5
42000,"874,018","3,133,655","2,168,373","2,745,317",9.8,35.1,24.3,30.8
42001,"8,126","28,949","18,368","16,035",11.4,40.5,25.7,22.4
42003,"50,463","245,191","228,152","359,564",5.7,27.8,25.8,40.7
42005,"5,129","23,407","12,266","7,916",10.5,48,25.2,16.2
42007,"8,333","46,493","38,007","28,795",6.9,38.2,31.2,23.7
42009,"4,428","18,114","7,791","5,020",12.5,51.2,22,14.2
42011,"38,105","104,889","69,700","68,971",13.5,37.2,24.7,24.5
42013,"8,029","40,191","21,878","18,420",9.1,45.4,24.7,20.8
42015,"4,794","20,209","10,527","7,715",11.1,46.7,24.3,17.8
42017,"27,363","128,245","109,517","180,201",6.1,28.8,24.6,40.5
42019,"7,163","43,787","34,339","46,776",5.4,33.2,26,35.4
42021,"8,351","43,146","23,989","20,583",8.7,44.9,25,21.4
42023,323,"1,708","1,000",574,9,47.4,27.7,15.9
42025,"4,873","21,390","12,894","7,899",10.4,45.5,27.4,16.8
42027,"5,538","29,250","19,155","43,673",5.7,30,19.6,44.7
42029,"23,654","75,080","70,157","181,587",6.7,21.4,20,51.8
42031,"2,748","11,859","5,770","5,970",10.4,45,21.9,22.7
42033,"7,748","29,119","13,903","8,481",13.1,49.1,23.5,14.3
42035,"2,847","11,492","6,125","4,793",11.3,45.5,24.3,19
42037,"4,394","19,016","10,581","9,871",10,43.4,24.1,22.5
42039,"6,397","27,728","13,318","12,459",10.7,46.3,22.2,20.8
42041,"13,275","56,940","40,782","61,933",7.7,32.9,23.6,35.8
42043,"19,478","63,859","48,706","57,927",10.3,33.6,25.6,30.5
42045,"27,437","116,459","91,608","145,998",7.2,30.5,24,38.3
42047,"1,721","10,847","5,635","4,167",7.7,48.5,25.2,18.6
42049,"16,404","73,342","46,221","51,997",8.7,39,24.6,27.7
42051,"11,063","47,524","22,429","15,674",11.4,49.2,23.2,16.2
42053,"1,062","3,360","1,171",448,17.6,55.6,19.4,7.4
42055,"13,451","45,685","25,413","22,455",12.6,42.7,23.7,21
42057,"1,331","5,462","2,269","1,404",12.7,52.2,21.7,13.4
42059,"3,317","12,222","6,014","4,810",12.6,46.4,22.8,18.2
42061,"3,562","16,108","7,512","5,545",10.9,49.2,23,16.9
42063,"5,754","24,334","12,986","12,599",10.3,43.7,23.3,22.6
42065,"3,239","15,712","7,260","5,136",10.3,50.1,23.2,16.4
42067,"2,919","8,504","3,328","2,446",17,49.5,19.4,14.2
42069,"13,633","54,917","39,382","41,375",9.1,36.8,26.4,27.7
42071,"54,658","129,235","79,895","97,090",15.1,35.8,22.1,26.9
42073,"6,132","27,175","15,886","13,379",9.8,43.4,25.4,21.4
42075,"12,316","41,988","21,426","19,335",13,44.2,22.5,20.3
42077,"28,213","81,249","64,706","72,598",11.4,32.9,26.2,29.4
