FIPS,hospitals,icu_beds,total_pop,60plus,
29097,3,88,118522,23997,
29099,2,67,222639,44346,
29101,1,0,53941,8743,
29103,0,0,3976,1111,
29105,1,4,35488,8182,
29107,1,2,32655,8174,
29109,1,0,38131,9049,
29111,0,0,10078,2396,
29113,1,4,54800,9951,
29115,1,0,12248,3264,
29117,1,0,15025,3870,
29119,0,0,22753,4923,
29121,1,0,15319,4479,
29123,1,0,12226,3126,
29125,0,0,8959,2377,
29127,1,8,28703,6636,
29129,0,0,3669,1037,
29131,0,0,24947,6151,
29133,0,0,13916,3068,
29135,0,0,15904,3467,
29137,0,0,8676,2514,
29139,0,0,11618,3177,
29141,0,0,20097,6188,
29143,0,0,18030,4377,
29145,1,0,58237,13667,
29147,1,0,22744,4356,
29149,0,0,10779,3347,
29151,0,0,13610,3017,
29153,0,0,9328,3114,
29155,1,7,17344,3691,
29157,1,0,19135,4591,
29159,1,9,42309,9293,
29161,1,18,44873,9354,
29163,1,0,18517,4252,
29165,1,0,96899,18623,
29167,1,8,31347,7355,
29169,0,0,53132,6246,
29171,1,0,4846,1486,
29173,0,0,10208,2800,
29175,1,8,24987,5586,
29177,1,0,22859,5551,
29179,0,0,6361,1916,
29181,0,0,13807,3623,
29183,4,39,385115,74900,
29185,1,0,9396,3278,
29186,1,0,17882,4593,
29187,2,10,66248,14643,
29189,9,468,999539,235062,
29195,2,7,23010,5380,
29197,0,0,4450,1136,
29199,1,0,4883,1143,
29201,1,12,38858,9126,
29203,0,0,8273,2279,
29205,0,0,6084,1705,
29207,1,4,29634,7527,
29209,0,0,31529,12153,
29211,1,0,6382,1620,
29213,1,18,54308,14724,
29215,1,4,25714,6773,
29217,1,6,20665,5056,
29219,0,0,33554,8041,
29221,1,0,24968,5493,
29223,0,0,13369,3895,
29225,0,0,37558,7556,
29227,0,0,2053,630,
29229,0,0,18304,4787,
29510,3,207,314867,57543,
30001,1,0,9360,2739,
30003,2,0,13290,2252,
30005,1,0,6646,1338,
30007,1,0,5755,1828,
30009,1,0,10466,3544,
30011,1,0,1320,457,
30013,2,20,81816,19330,
30015,2,0,5812,1617,
30017,1,4,11895,3032,
30019,1,0,1788,529,
30021,1,3,9324,2324,
30023,1,0,9131,2878,
30025,1,0,2925,737,
30027,1,0,11327,3317,
30029,3,22,96147,24545,
30031,2,8,100733,17127,
30033,1,0,1086,310,
30035,2,0,13677,2288,
30037,0,0,747,281,
30039,1,0,3206,1229,
30041,1,6,16468,3176,
30043,0,0,11625,3437,
30045,0,0,1965,630,
30047,2,0,29518,8372,
30049,1,8,66290,16327,
30051,1,0,2245,724,
30053,1,0,19249,7031,
30055,1,0,1728,550,
30057,2,0,7902,3066,
30059,1,0,2000,578,
30061,1,0,4194,1542,
30063,2,32,114231,22759,
30065,1,0,4766,1594,
30067,1,4,16001,4577,
30069,0,0,453,141,
30071,1,0,4139,1155,
30073,1,0,6081,1684,
30075,0,0,1610,534,
30077,1,0,6852,1842,
30079,1,0,1325,462,
30081,1,5,41387,13513,
30083,1,0,11405,2372,
30085,3,0,11218,1796,
30087,1,1,9292,1891,
30089,1,0,11414,4282,
30091,1,0,3568,1075,
30093,1,11,34514,8536,
30095,1,0,9342,2685,
30097,1,0,3646,1290,
30099,1,0,6040,1756,
30101,1,0,5031,1261,
30103,0,0,790,262,
30105,1,0,7561,2163,
30107,1,0,2108,537,
30109,0,0,1121,380,
30111,2,41,156332,34804,
31001,1,10,31564,7465,
31003,1,0,6406,1958,
31005,0,0,421,112,
31007,0,0,728,184,
31009,0,0,502,164,
31011,1,0,5357,1632,
31013,1,0,11200,2881,
31015,1,0,2049,704,
31017,1,0,3058,1042,
31019,2,34,48834,9288,
31021,1,0,6546,2059,
31023,1,0,8105,2184,
31025,0,0,25513,5904,
31027,0,0,8561,2423,
31029,1,0,3803,1112,
31031,1,0,5792,1699,
31033,1,4,10012,2396,
31035,0,0,6264,1617,
31037,1,0,10616,1928,
31039,1,0,9039,2467,
31041,2,0,10836,3058,
31043,0,0,20529,3746,
31045,1,0,8972,2181,
31047,3,0,23925,4804,
31049,0,0,1901,600,
31051,0,0,5765,1552,
31053,1,0,36576,9091,
31055,8,187,549706,95539,
31057,1,0,2017,546,
31059,1,0,5603,1687,
31061,1,0,3019,1067,
31063,0,0,2624,840,
31065,1,0,4814,1514,
31067,1,3,21632,5923,
31069,1,0,1913,650,
31071,0,0,1958,734,
31073,0,0,2019,614,
31075,0,0,682,213,
31077,0,0,2436,760,
31079,1,16,61233,11885,
31081,1,0,9149,2394,
31083,1,0,3469,1149,
31085,0,0,957,294,
31087,0,0,2860,867,
31089,3,0,10293,2986,
31091,0,0,684,316,
